years,Open,High,Low,Close,Adj Close,Volume
2015,48.068001,54.313999,47.394001,49.68,49.68,401440500
2015,49.501999,49.967999,40.400002,41.38600200000001,41.38600200000001,504060000
2015,41.784,46.916,41.16,46.051998,46.051998,392442000
2015,46.21200200000001,48.726002,42.973999,48.001999,48.001999,299227500
2016,46.144001,46.276001,36.481998,38.240002000000004,38.240002000000004,396236000
2016,37.751999,39.903999,28.209999,38.38600200000001,38.38600200000001,668529000
2016,38.849998,47.976002,36.299999,45.953998999999996,45.953998999999996,514610000
2016,48.966,53.868,46.650002,48.152,48.152,677536500
2016,48.299999,48.63800000000001,40.731998,44.646,44.646,516537500
2016,44.296001000000004,48.169998,37.574001,42.456001,42.456001,608364000
2016,41.228001,47.056,41.200001,46.958,46.958,370319500
2016,47.099998,47.326,41.73,42.402,42.402,311455500
2016,41.801998,42.220001,38.689999,40.806,40.806,353159500
2016,42.459998999999996,43.133998999999996,38.400002,39.546001000000004,39.546001000000004,460664000
2016,39.608002,39.869999,35.63800000000001,37.880001,37.880001,494430000
2016,37.650002,44.759997999999996,36.0,42.737999,42.737999,439967000
2017,42.972,51.692001,42.192001,50.38600200000001,50.38600200000001,503398000
2017,50.610001000000004,57.478001,48.402,49.998001,49.998001,597700000
2017,50.835999,56.400002,48.556,55.66,55.66,535176500
2017,57.380001,62.959998999999996,56.916,62.813999,62.813999,584753000
2017,62.976002,68.57800300000001,58.152,68.202003,68.202003,740231500
2017,68.800003,77.398003,66.842003,72.321999,72.321999,929755500
2017,74.047997,74.269997,60.625999,64.694,64.694,908200000
2017,64.599998,74.0,62.243999,71.18,71.18,684708000
2017,71.22399899999998,77.92199699999998,67.08000200000001,68.220001,68.220001,557563500
2017,68.503998,72.599998,63.332001,66.306,66.306,615183500
2017,66.449997,66.522003,58.526001,61.77,61.77,744064000
2017,61.088001,69.487999,60.0,62.27,62.27,549423500
2018,62.400002,72.099998,61.13600200000001,70.862,70.862,621357500
2018,70.199997,71.998001,58.952,68.612,68.612,545950000
2018,69.001999,69.734001,49.641998,53.226002,53.226002,786342500
2018,51.251999,61.900002,48.917999,58.779999,58.779999,951554000
2018,58.702,62.598,54.683997999999995,56.945999,56.945999,777890500
2018,57.172001,74.746002,56.768002,68.589996,68.589996,1067125500
2018,72.014,72.956001,57.226002,59.627998,59.627998,861641000
2018,59.598,77.491997,57.639998999999996,60.332001,60.332001,1386801000
2018,59.38800000000001,62.992001,50.450001,52.953998999999996,52.953998999999996,980377000
2018,61.153999,69.431999,49.554001,67.46399699999999,67.46399699999999,1431803500
2018,67.652,73.349998,65.0,70.096001,70.096001,665095500
2018,72.0,358.48999,58.818001,66.559998,66.559998,732256000
2019,61.220001,70.400002,55.855999,61.403999,61.403999,878260500
2019,61.084,64.848,57.754002,63.976002,63.976002,642750500
2019,61.38800000000001,61.425999,50.891998,55.972,55.972,1068967500
2019,56.523998,59.234001,46.226002,47.737999,47.737999,1153736500
2019,47.77,51.669998,36.82,37.032001,37.032001,1412994000
2019,37.102001,46.948002,35.397999,44.692001,44.692001,1074853000
2019,46.042,53.214001,44.444,48.321999,48.321999,996683500
2019,48.529999,48.902,42.200001,45.122002,45.122002,668953000
2019,44.81600200000001,50.700001,43.672001,48.174,48.174,678876500
2019,48.299999,68.167999,44.855999,62.984001,62.984001,1139913000
2019,63.264,72.239998,61.852001,65.987999,65.987999,788854000
2019,65.879997,87.061996,65.449997,83.666,83.666,1035400000
2020,84.900002,130.600006,84.342003,130.113998,130.113998,2036092500
2020,134.738007,193.798004,122.304001,133.598007,133.598007,2365483000
2020,142.251999,161.395996,70.101997,104.800003,104.800003,2104675000
2020,100.800003,173.96400500000001,89.279999,156.37600700000004,156.37600700000004,1635615100
2020,151.0,168.658005,136.608002,167.0,167.0,1364137500
2020,171.600006,217.537994,170.820007,215.962006,215.962006,1278863500
2020,216.600006,358.99798599999997,216.100006,286.152008,286.152008,1893612000
2020,289.839996,500.14001500000006,273.0,498.32000700000003,498.32000700000003,1557876400
2020,502.14001500000006,502.48999000000003,329.880005,429.01000999999997,429.01000999999997,1736563100
2020,440.76000999999997,448.880005,406.049988,425.299988,425.299988,258961000
